id;x;y
1;-45.281264;104.614182
1;-45.927219;106.507357
1;-45.967090;108.506960
1;-46.161921;110.497448
1;-47.064141;112.282384
1;-48.945240;112.961698
1;-50.945209;112.972932
1;-52.932731;112.749873
1;-54.695478;113.694713
1;-56.772661;112.705402
1;-58.200813;111.146527
1;-58.082429;108.658784
1;-59.674665;107.327278
1;-59.910227;105.341199
1;-60.454936;103.416805
1;-60.966127;101.012661
1;-62.414886;98.794022
1;-62.157781;95.969432
1;-60.845720;94.014329
1;-58.328106;92.692724
1;-55.716115;92.942023
1;-53.489120;92.921853
1;-51.084477;91.842727
1;-50.120632;89.619183
1;-48.733113;88.178769
1;-48.146298;86.266794
1;-49.268120;84.611042
1;-51.267774;84.060273
1;-52.965814;82.719728
1;-54.724423;81.767208
1;-56.804120;81.067026
1;-58.648919;80.294554
1;-60.619035;79.399763
1;-62.772662;77.928169
1;-65.760723;78.305500
1;-68.100884;77.059785
1;-70.608394;77.516395
1;-73.241977;78.902874
1;-76.467328;79.008044
1;-79.994769;78.238668
1;-83.841326;78.575927
1;-86.608526;76.224647
1;-86.383720;72.672421
1;-85.260142;69.123249
1;-82.142753;67.931223
1;-78.926481;67.250923
1;-76.554606;65.109458
1;-73.558165;63.116026
1;-70.647329;62.044431
1;-67.848475;61.182854
1;-65.083545;59.355164
1;-61.570467;58.122857
1;-58.762237;59.736369
1;-58.574923;63.160910
1;-56.392531;65.365353
1;-55.059399;68.638902
1;-55.443475;71.715617
1;-58.210986;73.611234
1;-58.984952;77.092227
1;-56.929845;79.394219
1;-54.460487;80.252255
1;-51.735253;81.443486
1;-50.351817;84.135889
1;-48.248498;85.749873
1;-48.311193;88.486120
1;-46.051984;90.136804
1;-42.967906;90.436740
1;-39.589744;90.004257
1;-36.071354;91.356430
1;-32.491304;90.008166
1;-31.008686;86.964648
1;-31.962853;84.194381
1;-31.712864;81.550479
1;-33.806802;79.821639
1;-33.683486;77.537580
1;-34.893468;75.516625
1;-35.002656;73.411642
1;-34.781323;71.423927
1;-33.001626;69.711129
1;-31.428591;68.159009
1;-29.115731;67.878379
1;-28.179416;66.111089
1;-27.291708;64.318891
1;-26.106565;62.577610
1;-24.106581;62.585677
1;-22.084331;62.100040
1;-20.022529;62.637466
1;-17.775641;62.146387
1;-15.997063;61.231697
1;-14.945997;59.379413
1;-15.764710;57.142029
1;-15.216494;55.070556
1;-14.192273;53.352717
1;-12.201609;52.983192
1;-11.209275;51.246738
1;-9.255652;50.160976
1;-6.779113;51.083784
1;-4.655069;50.709126
1;-2.950921;52.214181
1;-1.126303;54.236503
1;0.241820;57.062107
1;1.637877;59.750657
1;2.799773;62.661009
1;1.226942;65.854604
1;-2.167826;66.495684
1;-4.028271;69.011169
1;-5.696780;71.214505
1;-7.981294;71.275565
1;-9.400086;73.469169
1;-9.940188;75.693166
1;-11.452241;77.002248
1;-13.424537;76.670509
1;-14.678722;75.008642
1;-14.281818;72.614571
1;-13.675217;70.306318
1;-14.133682;67.660513
1;-14.062405;64.985976
1;-13.597939;62.844753
1;-12.032459;61.408228
1;-10.034334;61.494819
1;-8.306223;60.341077
1;-6.095955;59.497477
1;-4.364527;58.496400
1;-2.291318;59.167330
1;-1.692076;61.075447
1;-2.891709;62.675722
1;-4.920267;63.236777
1;-7.099491;63.266592
1;-9.073950;62.947983
1;-10.513418;61.218668
1;-11.249102;58.824025
1;-12.991910;56.544304
1;-15.066476;54.321684
1;-17.408028;52.572973
1;-20.124929;51.802798
1;-23.043312;51.401282
1;-26.056854;49.784882
1;-28.990591;48.728169
1;-30.734899;46.334757
1;-30.143586;43.045901
1;-31.117716;39.679707
1;-29.765715;36.716932
1;-26.945915;35.032903
1;-23.597752;34.791134
1;-20.587430;36.319076
1;-17.416088;37.664025
1;-14.473996;36.197277
1;-13.637109;33.144550
1;-14.953639;29.742203
1;-13.482134;26.065713
1;-11.421902;22.465006
1;-9.753047;19.040589
1;-10.104993;15.402980
1;-11.808392;12.065429
1;-10.391101;8.150676
1;-12.028515;4.588452
1;-13.540424;1.306460
1;-16.804807;-0.719714
1;-17.906692;-4.136548
1;-18.181933;-7.631689
1;-20.667768;-9.709144
1;-23.258568;-11.680421
1;-25.079857;-13.947640
1;-26.143232;-16.701641
1;-25.794841;-19.274876
1;-25.395064;-21.558915
1;-27.230260;-23.406391
1;-27.318196;-25.833218
1;-27.205465;-28.604055
1;-24.669437;-30.455139
1;-21.213752;-30.186060
1;-18.367860;-29.048327
1;-15.671805;-27.200691
1;-12.296374;-28.357081
1;-8.492215;-27.846579
1;-5.115441;-29.088630
1;-2.172841;-31.381216
1;0.719268;-34.183219
1;4.932956;-33.279074
1;8.534511;-35.258883
1;12.654514;-37.096299
1;17.587153;-37.823099
1;22.579824;-38.093721
1;26.122785;-41.621812
1;25.348888;-46.415449
1;26.817479;-50.686093
1;27.077486;-54.724231
1;28.993810;-58.694826
1;28.201684;-63.225896
1;28.156644;-67.767365
1;25.324753;-71.888092
1;21.142479;-74.135213
1;16.552817;-76.113612
1;12.401350;-77.987601
1;10.172726;-81.626114
1;6.120468;-81.936479
1;3.118752;-84.813109
1;1.898458;-88.662910
1;0.994728;-92.610501
1;2.679267;-96.793176
2;-40.102957;109.182350
2;-36.838766;109.718838
2;-33.660529;109.152207
2;-30.733184;109.334261
2;-28.220770;108.259467
2;-25.536057;107.291772
